jenis_kelamin,umur,semester,useful_medsos,freq_medsos,useful_course,freq_course,useful_app,freq_app,ipk
Laki-laki,20,3,4,4,4,4,4,4,3.01
Laki-laki,20,7,4,4,4,4,4,4,3.87
Perempuan,20,5,4,4,4,4,4,4,3.41
Laki-laki,21,5,4,4,4,4,4,4,3.3
Laki-laki,20,5,4,4,4,4,4,4,3.44
Laki-laki,20,5,4,3,4,4,4,4,3.6
Laki-laki,18,3,2,2,4,4,4,4,3.58
Perempuan,18,3,4,4,4,3,4,4,3.63
Perempuan,19,3,4,3,4,3,4,4,3.45
Perempuan,19,3,3,3,4,3,4,4,3.49
Perempuan,22,7,4,4,3,3,4,4,3.2
Perempuan,20,5,4,4,3,3,4,4,3.48
Perempuan,20,5,4,4,3,3,4,4,3.12
Laki-laki,21,7,4,4,3,3,4,4,3.48
Laki-laki,20,3,4,3,3,3,4,4,3.61
Laki-laki,21,7,4,3,3,3,4,4,3.63
Laki-laki,19,5,4,4,4,2,4,4,3.3
Perempuan,20,5,4,4,4,2,4,4,3.55
Laki-laki,20,3,4,4,4,2,4,4,3.4
Laki-laki,21,7,4,4,4,2,4,4,3.54
Laki-laki,20,3,4,4,4,2,4,4,3.7
Laki-laki,20,5,3,4,4,2,4,4,4
Perempuan,19,3,4,3,4,2,4,4,3.33
Perempuan,20,5,4,4,3,2,4,4,3.33
Laki-laki,19,3,4,4,3,2,4,4,3.28
Laki-laki,19,3,4,4,3,2,4,4,3.41
Perempuan,18,5,3,4,3,2,4,4,3.48
Perempuan,20,5,3,4,3,2,4,4,3
Laki-laki,20,5,4,3,3,2,4,4,3.6
Laki-laki,20,5,3,3,3,2,4,4,3.25
Perempuan,20,5,3,2,3,2,4,4,3.47
Laki-laki,20,5,3,2,3,2,4,4,3.58
Laki-laki,22,7,3,2,3,2,4,4,3.92
Laki-laki,19,5,4,4,2,2,4,4,3.01
Laki-laki,20,5,3,3,2,2,4,4,3.78
Perempuan,20,5,3,4,3,1,4,4,3.47
Laki-laki,20,5,4,3,3,1,4,4,3.47
Perempuan,19,3,4,3,3,1,4,4,3.73
Perempuan,20,5,4,3,3,1,4,4,3.53
Laki-laki,19,3,3,2,3,1,4,4,3.42
Laki-laki,20,5,3,2,3,1,4,4,3.01
Perempuan,21,7,4,4,2,1,4,4,3.6
Laki-laki,20,5,4,3,2,1,4,4,3.33
Laki-laki,19,5,3,4,3,3,4,3,3.4
Laki-laki,20,5,4,3,3,3,4,3,3.43
Perempuan,21,7,4,4,4,2,4,3,3.55
Perempuan,20,5,4,3,4,2,4,3,3.71
Perempuan,19,3,3,2,4,2,4,3,3.84
Perempuan,19,3,3,2,4,2,4,3,3.56
Perempuan,19,5,4,4,3,2,4,3,3.68
Perempuan,19,5,4,3,3,2,4,3,3
Laki-laki,20,5,3,3,3,2,4,3,3.5
Laki-laki,20,5,3,3,3,2,4,3,3.2
Laki-laki,21,7,3,2,3,2,4,3,3.5
Laki-laki,21,5,3,2,3,2,4,3,3.41
Laki-laki,20,3,4,4,2,1,4,3,3.55
Perempuan,21,7,4,3,3,2,4,2,3.67
Perempuan,20,5,3,2,3,2,4,2,3.4
Laki-laki,20,5,4,2,3,1,4,2,3.13
Perempuan,20,5,4,3,4,4,3,4,3.88
Laki-laki,20,5,4,3,4,3,3,4,2.88
Perempuan,21,7,4,3,4,2,3,4,3.79
Laki-laki,21,5,3,2,4,2,3,4,3.41
Laki-laki,20,5,4,4,3,2,3,4,3.46
Laki-laki,21,5,4,3,3,2,3,4,3.4
Laki-laki,19,5,3,3,3,2,3,4,3.1
Laki-laki,19,5,3,2,1,2,3,4,3.49
Perempuan,21,5,4,3,4,4,3,3,3.55
Perempuan,20,5,4,4,4,3,3,3,3.38
Perempuan,20,5,3,3,4,3,3,3,3.6
Perempuan,20,5,3,3,3,3,3,3,3.5
Laki-laki,20,3,3,3,3,3,3,3,3.5
Laki-laki,21,5,2,2,3,3,3,3,3.29
Laki-laki,22,7,4,3,3,2,3,3,3.1
Laki-laki,20,5,3,3,3,2,3,3,3.69
Perempuan,19,3,3,3,3,2,3,3,3.45
Laki-laki,21,Lainnya,3,3,3,2,3,3,3.6
Laki-laki,21,7,3,2,3,2,3,3,3.31
Perempuan,21,7,3,1,2,1,3,3,3.78
Laki-laki,20,5,3,3,3,2,3,2,3.02
Perempuan,20,5,3,2,3,2,3,2,3.74
Perempuan,20,3,4,3,4,4,3,1,3.6
Laki-laki,19,3,2,1,3,4,2,2,3.44
Perempuan,20,5,3,2,3,2,2,2,3.3
Perempuan,20,5,2,1,3,1,1,2,3.58
Laki-laki,21,3,2,1,1,1,1,1,3.5
Laki-laki,20,5,3,2,3,2,0,2,3
Laki-laki,20,5,4,4,0,0,0,0,3.13
Laki-laki,20,5,3,2,0,0,0,0,3
Laki-laki,19,3,4,4,0,0,3,3,3.6
Perempuan,22,Lainnya,4,3,0,0,4,4,3.35
Perempuan,21,7,4,3,0,0,4,4,3.54
Laki-laki,20,5,4,4,0,0,4,4,3.28
Laki-laki,20,5,4,4,0,0,4,3,3.4
Perempuan,20,5,3,4,0,0,3,2,3.43
Laki-laki,20,5,4,3,0,0,4,4,3.1
Laki-laki,18,3,4,3,0,0,3,3,3.2
Laki-laki,20,5,3,3,0,0,3,2,3.21
Laki-laki,20,3,3,2,0,0,4,4,3.6
Perempuan,21,7,2,2,0,0,3,4,3.11
Laki-laki,21,7,3,2,0,0,4,4,3.45
Perempuan,19,3,3,2,0,0,3,3,3.36
Laki-laki,22,Lainnya,3,2,0,0,3,2,3.84
Perempuan,21,3,2,2,2,2,1,1,3.02
Perempuan,20,3,2,1,2,2,2,1,2.84
Perempuan,20,5,1,2,1,2,1,2,3.03
Perempuan,22,5,1,2,1,1,2,1,2.99
Perempuan,19,3,2,2,2,2,2,1,2.86
Laki-laki,19,7,1,1,2,1,1,2,2.91
Laki-laki,20,5,2,1,1,2,2,1,2.96
Laki-laki,20,5,1,1,1,2,1,2,3.03
Laki-laki,20,5,1,1,2,2,1,2,3.05
Laki-laki,20,5,2,2,2,1,2,1,3.07
Laki-laki,22,3,4,4,4,4,3,4,3.41
Perempuan,20,3,4,3,3,4,3,4,3.77
Perempuan,20,3,4,3,3,4,3,3,3.51
Perempuan,21,3,3,3,3,3,3,3,3.72
Perempuan,22,3,3,4,4,3,3,3,3.48
Perempuan,22,5,3,3,3,3,4,4,3.57
Perempuan,18,7,3,4,4,4,4,3,3.48
Laki-laki,21,7,4,4,4,3,4,4,3.57
Laki-laki,18,3,4,3,4,4,3,4,3.65
Laki-laki,20,5,3,4,4,3,4,3,3.52
